Wavelength,Filler,Intensity,
  531.77081,     1.00000, 393210.00000,
  531.84149,     1.00000, 393210.00000,
  531.91216,     1.00000, 243432.00000,
  531.98284,     1.00000, 26123.00000,
  532.05351,     1.00000, 10128.00000,
  532.12417,     1.00000,  7134.00000,
  532.19484,     1.00000,  5533.00000,
  532.26550,     1.00000,  4450.00000,
  532.33617,     1.00000,  3589.00000,
  532.40683,     1.00000,  3041.00000,
  532.47748,     1.00000,  2455.00000,
  532.54814,     1.00000,  2064.00000,
  532.61879,     1.00000,  1780.00000,
  532.68944,     1.00000,  1435.00000,
  532.76009,     1.00000,  1301.00000,
  532.83074,     1.00000,  1121.00000,
  532.90138,     1.00000,   923.00000,
  532.97202,     1.00000,   841.00000,
  533.04266,     1.00000,   688.00000,
  533.11330,     1.00000,   622.00000,
  533.18393,     1.00000,   511.00000,
  533.25457,     1.00000,   453.00000,
  533.32520,     1.00000,   386.00000,
  533.39583,     1.00000,   412.00000,
  533.46645,     1.00000,   357.00000,
  533.53708,     1.00000,   257.00000,
  533.60770,     1.00000,   241.00000,
  533.67832,     1.00000,   207.00000,
  533.74894,     1.00000,   194.00000,
  533.81955,     1.00000,   195.00000,
  533.89017,     1.00000,   166.00000,
  533.96078,     1.00000,   134.00000,
  534.03139,     1.00000,   102.00000,
  534.10199,     1.00000,   116.00000,
  534.17260,     1.00000,    70.00000,
  534.24320,     1.00000,    60.00000,
  534.31380,     1.00000,    54.00000,
  534.38440,     1.00000,    44.00000,
  534.45499,     1.00000,    26.00000,
  534.52559,     1.00000,     4.00000,
  534.59618,     1.00000,     9.00000,
  534.66677,     1.00000,     0.00000,
  534.73736,     1.00000,     0.00000,
  534.80794,     1.00000,     8.00000,
  534.87852,     1.00000,     0.00000,
  534.94910,     1.00000,     0.00000,
  535.01968,     1.00000,     3.00000,
  535.09026,     1.00000,     7.00000,
  535.16083,     1.00000,     0.00000,
  535.23140,     1.00000,     0.00000,
  535.30197,     1.00000,     4.00000,
  535.37254,     1.00000,     0.00000,
  535.44310,     1.00000,     0.00000,
  535.51367,     1.00000,     0.00000,
  535.58423,     1.00000,     0.00000,
  535.65479,     1.00000,     1.00000,
  535.72534,     1.00000,     0.00000,
  535.79590,     1.00000,     0.00000,
  535.86645,     1.00000,    16.00000,
  535.93700,     1.00000,     2.00000,
  536.00755,     1.00000,     0.00000,
  536.07809,     1.00000,     0.00000,
  536.14863,     1.00000,     0.00000,
  536.21917,     1.00000,     1.00000,
  536.28971,     1.00000,     0.00000,
  536.36025,     1.00000,     0.00000,
  536.43078,     1.00000,     0.00000,
  536.50132,     1.00000,     0.00000,
  536.57185,     1.00000,     0.00000,
  536.64237,     1.00000,     0.00000,
  536.71290,     1.00000,     2.00000,
  536.78342,     1.00000,     0.00000,
  536.85394,     1.00000,     0.00000,
  536.92446,     1.00000,     0.00000,
  536.99498,     1.00000,     0.00000,
  537.06549,     1.00000,     0.00000,
  537.13601,     1.00000,     0.00000,
  537.20652,     1.00000,     0.00000,
  537.27702,     1.00000,     0.00000,
  537.34753,     1.00000,     0.00000,
  537.41803,     1.00000,     0.00000,
  537.48853,     1.00000,     0.00000,
  537.55903,     1.00000,     0.00000,
  537.62953,     1.00000,     0.00000,
  537.70003,     1.00000,     0.00000,
  537.77052,     1.00000,     0.00000,
  537.84101,     1.00000,     0.00000,
  537.91150,     1.00000,     0.00000,
  537.98198,     1.00000,     0.00000,
  538.05247,     1.00000,     0.00000,
  538.12295,     1.00000,     0.00000,
  538.19343,     1.00000,     0.00000,
  538.26390,     1.00000,     0.00000,
  538.33438,     1.00000,     0.00000,
  538.40485,     1.00000,     0.00000,
  538.47532,     1.00000,     0.00000,
  538.54579,     1.00000,     0.00000,
  538.61626,     1.00000,     0.00000,
  538.68672,     1.00000,     0.00000,
  538.75718,     1.00000,     0.00000,
  538.82764,     1.00000,     0.00000,
  538.89810,     1.00000,     0.00000,
  538.96855,     1.00000,     0.00000,
  539.03901,     1.00000,     0.00000,
  539.10946,     1.00000,     0.00000,
  539.17991,     1.00000,     0.00000,
  539.25035,     1.00000,     0.00000,
  539.32080,     1.00000,     0.00000,
  539.39124,     1.00000,     0.00000,
  539.46168,     1.00000,     0.00000,
  539.53212,     1.00000,     0.00000,
  539.60255,     1.00000,     0.00000,
  539.67299,     1.00000,    10.00000,
  539.74342,     1.00000,   101.00000,
  539.81385,     1.00000,   119.00000,
  539.88427,     1.00000,   245.00000,
